NVA-Antw,449531
CD&V-Antw,183636
SP.A-Antw,132096
OpenVLD-Antw,116892
Groen-Antw,112477
VB-Antw,79852
PVDA-Antw,51638
Anderen-Antw,15419
PS-Bru,123985
MR-Bru,115038
FDF-Bru,55306
Ecolo-Bru,52133
CDH-Bru,46441
PVDA-Bru,19135
OpenVLD-Bru,13283
NVA-Bru,13223
SP.A-Bru,9613
PP-Bru,8641
CD&V-Bru,8173
VB-Bru,5157
Anderen-Bru,28597
NVA-OVL,306650
OpenVLD-OVL,179167
CD&V-OVL,177349
SP.A-OVL,131903
Groen-OVL,90473
VB-OVL,61620
PVDA-OVL,26381
Anderen-OVL,15277
PS-Hene,303085
MR-Hene,153301
CDH-Hene,76812
Ecolo-Hene,43488
PVDA-Hene,38194
PP-Hene,32158
FDF-Hene,14382
Anderen-Hene,77070
NVA-VlBr,192698
OpenVLD-VlBr,170128
CD&V-VlBr,112251
SP.A-VlBr,81254
Groen-VlBr,59096
VB-VlBr,28857
FDF-VlBr,15405
PVDA-VlBr,12664
Anderen-VlBr,6772
PS-Luik,187897
MR-Luik,158046
CDH-Luik,81759
Ecolo-Luik,56890
PVDA-Luik,50603
PP-Luik,32229
FDF-Luik,13915
Anderen-Luik,45026
NVA-Lim,174030
CD&V-Lim,125962
SP.A-Lim,98194
OpenVLD-Lim,68713
VB-Lim,34020
Groen-Lim,33244
PVDA-Lim,14253
Anderen-Lim,6038
CDH-Lux,56702
MR-Lux,41346
PS-Lux,37371
Ecolo-Lux,13471
PP-Lux,6980
PVDA-Lux,4003
FDF-Lux,2811
Anderen-Lux,7033
MR-Nam,84788
PS-Nam,83361
CDH-Nam,48135
Ecolo-Nam,29186
PVDA-Nam,14559
PP-Nam,13029
FDF-Nam,8367
Anderen-Nam,18087
MR-WBr,97741
PS-WBr,51359
Ecolo-WBr,27356
CDH-WBr,26335
FDF-WBr,11198
PP-WBr,9544
PVDA-WBr,6449
Anderen-WBr,9887
NVA-WVL,230265
CD&V-WVL,175669
SP.A-WVL,142406
OpenVLD-WVL,111388
Groen-WVL,63657
VB-WVL,38232
LDD-WVL,28414
PVDA-WVL,13397
Anderen-WVL,4501
